"GEOID","NAME","poverty_rateE","poverty_rateM","unemployment_rateE","unemployment_rateM","no_health_insuranceE","no_health_insuranceM","education_less_than_hsE","education_less_than_hsM","median_ageE","median_ageM","black_populationE","black_populationM","white_populationE","white_populationM","american_indian_alaska_native_aloneE","american_indian_alaska_native_aloneM","asian_aloneE","asian_aloneM","native_hawaiian_other_pacific_islander_aloneE","native_hawaiian_other_pacific_islander_aloneM","male_65_69E","male_65_69M","male_70_74E","male_70_74M","male_75_79E","male_75_79M","male_80_84E","male_80_84M","male_85plusE","male_85plusM","female_65_69E","female_65_69M","female_70_74E","female_70_74M","female_75_79E","female_75_79M","female_80_84E","female_80_84M","female_85plusE","female_85plusM","summary_est","summary_moe","year","total_65plus","poverty_rate_pct","unemployment_rate_pct","no_health_insurance_pct","education_less_than_hs_pct","black_population_pct","white_population_pct","american_indian_pct","asian_pct","pacific_islander_pct","pct_65plus","black_65plus_pct","white_65plus_pct","asian_65plus_pct"
"11001002600","Census Tract 26, District of Columbia, District of Columbia",138,91,113,46,44,29,2,5,47.5,2.9,1086,295,993,112,8,11,111,62,12,19,89,43,26,19,7,11,50,21,56,27,140,49,51,29,100,51,41,24,39,29,2395,262,2013,599,5.76200417536534,4.71816283924843,1.83716075156576,0.0835073068893528,45.3444676409186,41.4613778705637,0.334029227557411,4.63465553235908,0.501043841336117,25.0104384133612,181.302170283806,165.776293823038,18.5308848080134
"11001004002","Census Tract 40.02, District of Columbia, District of Columbia",105,52,30,24,19,22,0,12,34.2,1.6,237,133,2130,286,7,11,188,111,0,12,56,31,51,42,17,18,6,9,7,11,49,29,14,16,30,24,34,27,12,12,2675,254,2013,276,3.92523364485981,1.1214953271028,0.710280373831776,0,8.85981308411215,79.6261682242991,0.261682242990654,7.02803738317757,0,10.3177570093458,85.8695652173913,771.739130434783,68.1159420289855
"11001005600","Census Tract 56, District of Columbia, District of Columbia",932,234,134,164,70,56,80,53,28.5,4.4,386,159,4547,662,0,17,817,325,0,17,127,103,81,82,72,49,93,80,90,74,170,85,84,62,44,39,26,31,110,65,6123,815,2013,897,15.2212967499592,2.18846970439327,1.1432304425935,1.30654907724971,6.30409929772987,74.2609831781806,0,13.3431324514127,0,14.6496815286624,43.0323299888517,506.911928651059,91.0813823857302
"11001004600","Census Tract 46, District of Columbia, District of Columbia",284,173,149,87,112,69,20,29,34.1,3,1658,337,882,203,90,109,89,66,0,12,104,85,43,37,101,79,0,12,0,12,107,84,26,22,62,79,18,23,36,55,2797,320,2013,497,10.1537361458706,5.32713621737576,4.00429031104755,0.715051841258491,59.2777976403289,31.5337861994995,3.21773328566321,3.18198069360029,0,17.7690382552735,333.601609657948,177.464788732394,17.907444668008
"11001005201","Census Tract 52.01, District of Columbia, District of Columbia",458,155,158,106,178,137,0,17,31.4,1.9,485,208,4214,488,22,36,625,162,0,17,170,86,63,51,47,49,60,49,62,75,27,30,35,38,55,53,22,25,18,30,5835,542,2013,559,7.84918594687232,2.70779777206512,3.05055698371894,0,8.31191088260497,72.2193658954584,0.377035132819195,10.7112253641817,0,9.58011996572408,86.7620751341682,753.846153846154,111.806797853309
"11001005900","Census Tract 59, District of Columbia, District of Columbia",684,213,242,104,52,28,15,22,29.5,2.3,858,251,1809,233,0,12,286,98,0,12,116,73,33,35,34,41,9,13,60,49,28,64,24,20,0,12,14,15,21,22,3160,354,2013,339,21.6455696202532,7.65822784810127,1.64556962025316,0.474683544303797,27.1518987341772,57.246835443038,0,9.0506329113924,0,10.7278481012658,253.097345132743,533.628318584071,84.3657817109145
"11001007703","Census Tract 77.03, District of Columbia, District of Columbia",1628,508,470,222,214,121,40,48,32.7,3.6,5109,651,0,17,0,17,0,17,0,17,171,100,0,17,0,17,15,26,36,37,189,95,42,49,51,58,35,36,9,16,5216,646,2013,548,31.2116564417178,9.01073619631902,4.10276073619632,0.766871165644172,97.9486196319018,0,0,0,0,10.5061349693252,932.299270072993,0,0
"11001007707","Census Tract 77.07, District of Columbia, District of Columbia",847,396,386,132,132,82,22,31,33.7,4.7,4104,454,51,70,0,12,0,12,0,12,128,68,11,13,33,30,8,12,42,35,111,54,43,31,55,46,23,21,44,29,4263,443,2013,498,19.8686371100164,9.05465634529674,3.09641097818438,0.516068496364063,96.2702322308234,1.1963406052076,0,0,0,11.6819141449683,824.096385542169,10.2409638554217,0
"11001008100","Census Tract 81, District of Columbia, District of Columbia",132,87,49,45,108,99,0,12,33.4,5.4,473,237,2651,287,0,12,74,52,0,12,48,44,34,32,66,40,7,11,59,33,25,31,46,32,20,22,46,38,22,25,3296,349,2013,373,4.00485436893204,1.48665048543689,3.27669902912621,0,14.3507281553398,80.4308252427185,0,2.24514563106796,0,11.3167475728155,126.809651474531,710.723860589812,19.8391420911528
"11001008200","Census Tract 82, District of Columbia, District of Columbia",237,133,92,58,82,64,2,4,30.4,3.4,125,71,2641,281,0,12,103,66,0,12,114,56,22,23,96,55,20,23,41,28,55,35,34,29,78,49,8,13,9,12,3004,300,2013,477,7.88948069241012,3.06258322237017,2.72969374167776,0.066577896138482,4.16111850865513,87.9161118508655,0,3.42876165113182,0,15.878828229028,26.2054507337526,553.668763102725,21.5932914046122
