"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"High Blood Pressure Prevalence","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Census Tract",11001000100,23.1,percent,22.2,24.2,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"High Blood Pressure Prevalence","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Census Tract",11001000100,21.8,percent,20.9,22.8,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"High Blood Pressure Prevalence","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Census Tract",11001000100,21.7,percent,20.8,22.6,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"High Blood Pressure Prevalence","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Census Tract",11001000100,23.8,percent,22.5,25.2,,,,,No,2013,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"High Blood Pressure Prevalence","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Census Tract",11001000201,8.4,percent,6.8,10.1,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"High Blood Pressure Prevalence","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Census Tract",11001000201,8.6,percent,7.7,9.5,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"High Blood Pressure Prevalence","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Census Tract",11001000201,11.7,percent,10.5,13.2,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"High Blood Pressure Prevalence","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Census Tract",11001000201,9.1,percent,8.1,10.2,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"High Blood Pressure Prevalence","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Census Tract",11001000201,10.2,percent,8.5,12.3,,,,,No,2013,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"High Blood Pressure Prevalence","This indicator shows the percentage of adults who have been told they have high blood pressure. Normal blood pressure should be less than 120/80 mm Hg for an adult. Blood pressure above this level (140/90 mm Hg or higher) is considered high (hypertension).","Census Tract",11001000202,19.3,percent,16.8,22.2,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
